PECy5-5 CD3e,PECy7 CD16-32,DL800 Ly6G,AF700 CD45,APCCy7 CD48,BUV395 CD11b,BUV737 B220,BV605 Ly6C
-60.1179,4676.17,4801.14,3717.52,1826.31,9091.11,266.499,2415.73
72.2309,5967.3,-234.857,1714.73,1230.9,10336.2,-298.435,4788.36
-103.378,4761.32,13359.5,2779.64,968.913,12458.4,-103.515,1245.82
96.4686,2147.08,-1017.67,1897.67,7148,2575.39,214.601,6286.9
742.252,16565.9,-615.093,16049.1,8006.14,28813.6,1337.97,27096.5
828.522,19355.7,1224.92,10980.9,5434.08,9479.77,757.533,16583.4
16.7055,6551.75,-233.849,4172.38,6615.19,11613.8,-30.483,16132.7
4190.38,2.80034,-1491.33,23540.8,9830.31,91.4948,801.368,9153.39
-138.434,50.5971,-12.0019,5138.11,946.608,-924.608,25478.8,2062.8
706.725,-340.536,-1150.22,6635.97,6471.96,-556.757,28937,120.33
-126.976,2962.7,575.454,1140.38,664.574,11437.3,285.839,1764.34
282.39,2980.47,-273.971,1523.7,2620.24,196.112,1415.89,1601.65
-24.6292,2840.8,2665.95,2396.24,580.605,8029.43,-229.031,1371.87
185.166,1815.85,-419.603,7553.29,2810.83,-619.632,28482.2,398.693
-336.066,-266.681,-844.029,5754.44,6464.83,215.024,8406.93,10408.7
26.3983,6897.38,531.796,3312.25,2583.27,1417.59,131.773,3711.02
1765.31,37407.9,602.628,17710.7,23876.5,54043.1,2009.56,42811.2
85.7255,1638.14,-1378.76,7606.32,11506.1,1043.89,-16.5099,-34.6516
19.6684,6133.35,43.6579,1968.98,1635.78,12127.9,-74.8957,5688.4
69.8517,7119.82,7828.61,2043.02,-679.002,11603.5,97.3086,659.159
153.687,686.808,53.6557,7321.77,1255.38,131.07,24120.3,87.3126
2431.46,456.08,182.744,21350.8,8076.88,1124.7,339.37,11843.4
172.392,539.056,113.373,1005.54,393.697,281.693,486.912,503.668
91.1958,4473.89,-464.005,1777.39,6435.77,713.255,81.3073,6903.33
-243.266,4614.52,5368.92,2495.61,1989.59,10856.7,359.759,2784.64
222.245,12494.5,11257.9,9221.99,9251.92,59628.8,973.451,4814.29
39.2562,5235.35,4265.02,1380.84,-213.082,16036.4,509.033,1082.49
1374.62,-577.387,-1303.79,12186.8,5899.38,343.681,1150.28,37849.5
498.043,1926.28,-276.223,1359.19,2278.04,20513.1,1175.52,8423.27
-10.6716,5142.46,2525.54,2467.02,1483.6,9980.26,-235.748,1488.95
-51.9828,3152.55,-696.708,4278.24,2882.28,-480.465,22283.2,-27.2731
228.554,7435.42,-250.184,4003.24,8202.65,5923.66,13.7732,19872.6
489.772,1690.89,-708.737,17778.6,2263.86,2932.18,725.907,292.924
2919.77,38.0973,-771.458,8908.59,4506.94,431.826,283.222,3933.78
-122.908,2423.3,-761.868,8117.92,3921.71,475.727,24276.9,3439.06
-0.739719,4996.38,7967.51,1740.87,450.073,9314.57,3.91563,1176.02
-79.1848,110.948,-489.288,1449.17,404.766,195.115,315.646,613.695
20.8093,7595.42,12570.9,3683.4,1025.18,28096.1,787.901,1523.96
155.7,5987.07,5936.84,2530.48,1090.52,15836.5,489.945,4860.76
-140.635,3619.61,-273.971,1180.77,3090.7,1642.96,39.3913,376.751
425.018,4771.07,-595.355,4334.49,10561.1,814.675,243.076,14208.3
4382.27,569.304,344.301,6936.77,3376.72,80.8193,690.654,7913.09
-180.681,250.133,-577.806,548.931,3441.81,-86.5861,4890.05,-197.739
21.6714,-1833.74,-1070.24,6235.82,9109.18,18166.9,573.55,14448.6
782.367,28822.2,1235.08,9381,6706.49,13282,716.807,9390.49
-29.0109,10796,102.303,2455.82,9705.43,1492.38,354.847,6563.01
22.1469,16954.2,-620.547,7678.02,1557.1,7754.29,-8.4785,3608.68
-214.747,5975.13,14019.5,2749.83,153.181,30414.8,404.657,2624.46
115.965,6666.82,1597.79,2078.76,1134.02,15166.5,682.499,2497.04
-119.497,-27.8589,170.068,6219.08,2854.61,-200.063,24041.8,1201.25
-38.6585,7419.2,-157.468,4230,7171.92,6535.48,529.192,19397.7
-30.6718,5925.65,6816.8,1937.07,732.516,10214.6,186.316,652.014
-289.305,1.48076,-282.402,149.347,-108.11,-151.556,248.658,21.3998
216.982,1171.14,-471.964,537.058,802.61,510.518,415.796,196.063
85.6198,4519.37,3753.15,2084.07,687.284,10769.9,462.655,737.879
244.25,11562.5,470.65,6688.23,8610.37,14865.5,663.905,12252.2
78.3011,4775.37,6506.35,2820.57,733.117,14712.9,32.5823,4837.16
135.945,188.114,90.9021,304.811,173.522,413.791,-25.364,408.57
-110.902,469.944,-165.741,884.967,2038.88,43.0775,6952.95,68.2629
-20.0213,6366.21,1477.44,1144.51,546.088,15098.6,29.7319,2187.2
212.556,842.475,-21.2479,2248.27,4222.3,1134.63,582.965,744.346
179.06,1150.37,-597.92,4053.47,4982.08,8985.24,285.866,7321.42
-132.61,721.719,-479.18,5093.45,3650.83,-410.617,18018.1,1840.54
-15.2883,-44.725,-1114.34,3287.75,12204.6,497.554,816.46,10975.9
2239.73,618.931,-903.235,11722.5,5439.96,252.809,2294.14,9185.72
80.5121,402.407,284.488,5541.38,3233.48,-402.432,27237.9,408.717
186.216,399.232,275.457,3727.33,2374.41,224.378,18876,-112.061
2.34785,115.917,-243.244,428.35,1663.04,379.504,249.855,-417.731
-266.358,506.099,-980.318,4830.99,3957.8,-640.538,25923.3,3289.44
1960.79,524.667,-102.243,7322.11,2878.89,253.983,484.886,23680.6
33.7049,-134.815,-852.5,3760.32,3136.75,-590.844,19086.8,-221.091
120.79,-204.319,-387.202,367.42,514.759,126.907,155.704,42.2125
-272.544,4657.99,396.46,1003.76,436.983,12672.5,369.355,3663.7
1065.94,24391.8,-766.752,11327.6,19112.4,27736.1,2858.04,55425
114.731,5954.37,444.014,2082.04,2175.56,5040.61,229.433,3621.53
-208.913,592.557,-383.636,3237.51,3821.17,-8.82675,17695.3,3836.25
173.207,1873.5,403.441,4908.29,8524.59,350.732,-130.968,23013.9
84.1189,6017.89,9581.3,2242.38,1297.41,11695.8,76.2309,1196.6
118.036,-240.125,-159.287,3792.55,3284.54,-451.851,4477.35,168.493
-41.0822,214.718,142.291,945.984,3169.7,-74.682,7380.59,294.355
-135.411,426.704,-841.812,1659.8,3393.98,-547.493,11896.2,537.273
25.8096,2663.95,-907.661,2889.71,8567.43,8618.76,146.361,11388.2
-27.9212,6012.65,-1192.62,5594.6,5835.52,45651.7,954.769,5282.17
106.876,569.886,-1002.38,6456.17,5027.56,-24.0217,49376.4,3719.53
-182.182,8709.84,-1140.1,4998.44,5171.53,14584.1,474.911,7681.7
373.839,12853.7,793.45,9534.18,5749.25,21953.1,304.528,13145.3
3250.08,1373.97,-313.206,24947.6,7542.71,747.926,10.5164,118.377
16.3283,4714.64,13091.8,2518.5,-307.975,22956.8,254.433,1148.5
82.5692,4964.83,1861.93,1244.47,1680.87,13085.3,449.089,3714.01
5350.3,85.5582,-622.564,1803.15,618.492,-164.118,-206.849,198.446
-98.2221,195.403,-387.242,1025.64,6280.32,298.448,10010.3,19.6708
151.415,57.2892,-1238.61,6073.99,6610.41,-276.14,21905.8,6903.37
-35.4453,5240.35,809.802,1763.47,840.773,36333.9,643.28,683.492
-381.994,297.041,-317.687,8700.32,3546.45,-1108.81,42777.6,531.156
42.9501,6770.03,179.753,4618.84,6203.46,1433.21,241.112,13307.8
232.889,4464.22,7920.96,2251.98,682.468,7053.17,-415.169,1075.04
-84.7216,6328.16,-802.405,2731.95,6998.35,7442.74,195.387,10939.5
-84.067,13301.9,-216.722,1548.22,5968.91,927.38,175.237,16358.3
-29.2268,8385.28,-917.517,3784.95,9740.75,2394.12,727.518,20452
20.2609,5340.36,7262.36,5336.76,2053.14,40985.1,1027.28,5452.02
133.613,9353.42,2786.31,3514.91,2089.51,11405.1,920.456,501.753
264.605,4842.31,23.5287,3792.44,6857.93,6205.3,-562.092,14056.8
119.139,7265.47,-610.055,3188.44,7639.63,3437.54,480.19,31975.7
-46.8433,3853.16,-12.3483,1841.9,5504,1071.86,288.785,570.016
269.847,677.609,980.599,6460.46,2349.17,-635.013,29182.8,563.803
-40.3531,4553.37,5724.14,2102.73,84.1649,17379.4,239.6,1483.11
-251.751,-115.882,-816.067,5004.04,2120.04,153.166,25406.9,61.986
-85.8624,645.965,17.6857,5967.87,2301.09,-328.222,22174.7,355.837
63.5925,5846.74,4256.16,2860.39,1459.35,11132.6,-47.811,1725.97
76.8021,6121.4,7417.18,2463.2,1320.98,17204.4,355.016,1416.46
