PECy5-5 CD3e,PECy7 CD16-32,DL800 Ly6G,AF700 CD45,APCCy7 CD48,BUV395 CD11b,BUV737 B220,BV605 Ly6C
-21.0882,4452.61,6946.29,2486.18,212.752,11482,44.8908,1773.42
424.708,1766.34,233.062,1494.62,1553.63,9755.94,1586.93,20071.6
-150.889,4842.96,5866.95,1669.76,454.708,19069.9,199.702,1856.12
-122.188,6168.83,7157.71,2866.66,1360.06,23992,515.387,1582.56
254.668,4816.67,-545.824,3279.18,7216.93,15071.9,444.296,8876.21
-201.917,682.738,-126.135,1027.69,5414.99,778.407,4202.63,745.315
192.07,260.585,-247.468,3212.94,2964.01,109.236,15844.7,1228.01
-48.8429,4798.58,9023.88,2002.46,915.114,16217.6,155.609,576.569
-283.819,809.134,50.6763,4236.72,1691.85,13.5361,20663.6,2945.53
35.6206,4336.74,7018.91,1906.42,1165.66,17119.6,363.388,1979.75
-56.6979,4627.73,3564.62,1973.07,763.533,11307.4,388.497,1160.88
3261.55,-40.0838,-483.618,4621.08,4165.24,55.4535,27.7499,157.17
-157.08,6929.9,-790.203,1538.09,7741.78,510.212,125.272,14646.5
39.651,5013.93,5314.41,2245.99,799.217,15043.8,54.9923,742.266
390.792,57.0213,-680.122,2935.17,3793.89,369.561,6781.65,4145.87
-127.613,5187.86,4640.92,1648.65,70.8828,17937.5,270.303,1927.51
4.1171,4502.19,6227.54,2258.62,429.403,14886.8,-0.67634,4901.92
-292.093,186.905,-188.273,564.422,2731.38,-82.1187,5883.83,126.204
-152.148,3227.57,2601.52,1391.09,1089.97,26465.9,-7.56576,536.618
-0.268066,10933.4,-414.971,4317.19,8151.11,6376.06,546.243,16797.8
174.208,7010.99,671.671,1656.7,1584.97,12142.7,256.236,2180.77
-121.529,4600.46,7194.79,1915.71,549.187,11503.2,241.041,1584.38
-31.6771,3984.92,9300.8,1807.4,606.444,6705.46,248.226,3248.31
504.744,2737.85,-273.254,2228.56,2076.75,14618.5,1088.99,9232.32
-18.8185,1073.04,-1505.36,3938.9,15480.3,2859.82,6349.84,2877.68
537.292,7364.42,675.817,1572.78,2890.99,4644.4,649.617,1741.64
2357.96,664.765,-882.028,8602.36,3955.99,-66.509,438.944,3180
93.533,3108.44,3660.55,1507.92,62.2949,9852.03,-155.455,1005.6
-33.6668,466.613,-389.368,1021.86,1841.56,-246.413,5920.17,-187.569
74.5062,426.588,87.6496,6696.24,1552.19,1424.98,8365.31,2712.76
307.02,462.809,-211.028,3467.36,11801.3,2716.28,890.172,39673.6
3028.84,2287.64,-964.478,8556.59,7516.45,435.202,347.215,155.275
39.8115,4088.54,8087.42,1663.2,342.173,11689.9,50.6741,1688.84
36.4174,9557.21,-599.104,5223.36,5639.18,17066,530.903,7899.86
1135.92,-399.633,-910.636,14132.2,6264.25,174.917,466.287,613.814
1286.18,21070.4,-1630.69,15566.9,13777.6,18405.2,137.175,21318.9
-202.447,66.0497,-607.326,1458.56,2737.12,106.859,10738.3,665.974
2974.8,151.974,-1297.8,23039.8,9211.54,293.672,186.405,1057.16
40.0195,4938.69,-868.107,2183.96,9706.22,872.891,-66.0201,4143.92
143.029,5291.27,12666.7,2817.35,236.618,15051.8,90.6811,1685.93
1444.35,-0.0620671,-681.614,3706.47,3027.06,206.052,-236.936,7816.34
173.106,3945.06,2741.23,1239.27,898.844,13101.4,407.554,2227
314.176,2365.05,-956.131,4955.76,9567.17,4379.07,571.859,15761.1
118.58,17667.2,40.5364,4959.58,9492.82,14918.7,1172.5,36844.2
58.563,1820.77,-257.558,3452.98,8163.74,747.789,491.793,-7.71818
-34.6036,5594.38,5683.79,2494.38,542.202,13667.6,276.616,829.878
-166.593,928.028,-463.59,4559.47,3715.97,-559.159,17058.5,-278.925
486.111,6582.06,-317.471,1565.61,2154.75,2864.02,891.676,2908.67
99.9229,6295.71,6975.78,2688.31,2050.45,6648.68,213.514,1373.62
-90.3867,8161.86,-299.475,3082.15,8867.41,886.228,189.286,28857.4
72.682,227.773,-745.057,402.872,3487.87,-272.357,6904.8,163.081
-82.8819,5642.14,211.357,4035.28,11976.5,3126.6,-511.766,28251.4
221.138,5505.22,6696.7,1799.77,144.541,13010.7,287.687,1079.78
-139.601,8806.29,-127.256,3452.58,5673.69,11937.5,629.888,10017.4
165.488,4750.66,9203.91,2066.61,1032.27,11177.8,404.058,1230.68
-147.665,882.164,63.4267,2413.18,3399.06,-13.0469,12458.9,-367.7
-385.959,1136.74,-109.354,5071.41,3553.04,-968.298,27665.9,1342.69
513.1,-157.233,-562.059,7533.99,8098.88,200.694,26520.4,15246
-68.0705,4926.43,7186.28,2272.48,868.289,12174,76.3902,1592.92
835.306,76.5988,-747.31,3385.08,6038.99,-22.9442,13393.8,33487.5
1645.8,650.981,-804.831,12866.5,7085.37,655.968,645.054,4539.59
-157.299,3689.6,-593.407,1177.59,914.424,16657.2,307.862,8493.65
103.343,3872.11,6182.99,2369.11,-164.653,12491.3,259.34,1972.25
5.85571,6660.82,-630.431,3829.17,4591.33,8268.96,264.861,10512.5
180.061,4151.87,6884.06,3031.02,1061.2,19071.1,179.186,1780.46
16.6197,1804.67,-978.897,3834.99,3593.21,-28.3248,19848.6,2245.8
-197.489,4378.77,9268.1,2987.91,-228.185,16543.9,228.698,1785.9
162.987,5057.83,2949.37,1284.4,1941.49,13123.1,256.283,4001.57
-174.737,2795.16,6525.55,1552,939.686,12274.7,72.8485,1690.07
-33.5159,3421.37,2590.22,1996.1,303.307,17215.9,118.163,1268.61
221.818,3857.14,7716.83,2198.97,1076.15,30976.6,854.382,2537.47
27.7346,3018.6,1248.25,1085.37,416.474,7217.4,89.188,1340.56
9261.44,-159.471,-110.916,5669.08,3445.54,29.5538,68.502,2023.74
-224.513,856.175,-445.637,2844.39,2687.21,63.4313,20145.8,18314.8
-187.171,3711.82,7023.73,1427.8,891.055,10911.7,360.695,1370.42
-192.841,1108.85,-721.87,3412.8,3285.49,351.925,18135.1,-136.789
16.5177,6520.32,1337.4,3413.33,7022.85,18840.3,645.36,2367.24
-63.4875,5375.04,5596.64,2417.26,514.44,15997.4,259.525,1697.87
4.38154,2351.65,588.529,1152.31,662.135,13993.1,100.66,1346.38
2645.32,1800.57,-264.605,23148.8,7619.72,793.205,202.819,4906.78
