NK11,CD3,CD45,Ly6G,CD11b,B220,CD8a,Ly6C,CD4
130.872,75.3414,32976.8,-788.025,10199.8,410.559,-380.24,54105,-651.446
-89.7591,4.91421,19224.3,7791.75,3182.49,-225.626,462.127,18853.4,66.617
22.7832,82.4327,4005.31,-686.826,9897.06,288.073,235.162,817.492,766.759
50.9136,236.914,6474.93,-723.398,9112.18,-146.256,476.073,263.871,443.732
-911.431,9940.21,80200.3,-2151.03,100.965,-565.054,7863.32,351.112,-1735.94
-39.0233,190.557,3251.49,-635.234,8453.43,96.0192,231.019,1000.39,705.127
88.8825,628.622,74851.5,-3981.05,1497.39,8686.9,-769.446,58275,30086.1
99.4484,119.076,3182.88,-641.202,7218.68,-142.132,580.579,1039.72,971.974
-113.257,184.691,5955.4,242.187,14650.7,126.95,12.2441,112.472,647.736
-28.8543,157.577,5300.22,-1341.52,12684.4,207.479,522.687,739.715,281.727
-60.3656,-41.6622,2640.3,-671.055,8537.23,99.6912,118.594,271.478,307.594
4.49226,-63.9818,6034.42,441.539,13987.1,-193.932,-99.3898,-128.061,442.94
253.42,124.923,7799.45,-216.657,14737.5,69.938,557.409,737.04,2034.84
85.2001,122.433,1295.15,-253.819,639.158,111.731,179.433,374.11,626.292
48.2486,-27.6608,4657.25,-484.707,14842.3,-57.7071,20.7089,60.946,98.2539
179.735,460.248,10224,-1146.43,30232.2,352.425,454.821,2457.43,2364.34
156.231,59.2049,2447.9,-1458.46,6942.4,75.2352,668.486,1351.38,1989.65
55.597,7.09404,10237.1,-585.494,14095.3,127.413,-17.4761,203.444,-60.7783
-12.9958,468.773,2104.94,-1048.78,4853.42,1371.23,28.0341,257.067,999.24
-6.29561,129.512,2979,-679.44,8143.77,241.842,173.013,634.749,851.187
52.1136,37.6427,9987.22,114.938,21764.8,319.782,-118.872,371.44,900.299
-65.6858,141.677,2240.8,229.902,5616.55,184.22,-146.571,83.1951,178.23
-52.056,13.6815,4498.39,408.73,11287.9,156.643,-115.148,472.895,361.396
42.9738,475.401,33944.8,9504.46,33135.8,75.7875,333.608,10251.7,867.582
117.315,-40.8027,4452.21,-565.643,10716.6,141.135,309.975,477.343,30.8044
60.827,-0.300623,1907.51,177.727,6303.36,56.6291,25.8014,209.541,133.496
473.627,244.996,34850.7,238.857,1019.96,3582.73,-474.561,672.407,-327.144
-23.3622,229.952,3503.53,-484.691,11509.5,18.561,129.214,662.541,778.606
304.852,75.3195,3626.46,-657.433,8233.68,442.224,211.305,574.991,825.79
2.16317,87.4117,4962.43,72.2543,12932,100.091,165.202,863.442,510.866
-538.272,1893.22,3444.89,-623.491,6815.77,12.7004,190.153,3246.99,904.295
68.6383,95.5421,4077.67,-582.443,8406.08,305.43,-24.4069,801.848,212.189
60.1249,67.3571,6721.31,-33.6597,15467.9,111.196,-312.353,769.813,426.346
101.603,-80.4882,11360.1,-891.005,307.522,1507.49,199.197,74.2664,83.0845
-60.7919,8.88073,10667.3,-623.532,390.29,2904.08,37.1533,101.303,108.166
169.687,-69.7234,9437.39,-501.005,17493.8,212.306,74.6226,-300.324,670.238
54.0026,-40.0923,19360.5,-211.891,848.852,1509.45,-113.5,703.707,-226.2
17.4298,271.114,52279.7,144.491,1051.97,10621.8,-1030.08,729.485,-196.545
-62.6609,297.258,5324.03,-754.816,11856.6,175.291,384.043,297.889,934.698
137.176,1195.13,1189.19,1007.47,2243.44,2189.37,244.587,4083.74,4124.62
74.8251,504.417,3299.6,-761.698,8736.91,478.106,197.98,1470.55,2341.29
-554.274,1679.68,3398.27,-116.192,9065.22,119.3,144.609,17809,315.665
-0.538242,133.258,9456.85,154.93,13837.6,56.2127,-512.911,663.986,784.892
56.3552,-70.7883,4583.37,-955.725,10593,39.6631,364.343,262.734,236.769
23.953,83.831,3967.58,477.496,7986.93,611.915,-204.568,788.795,1364.4
406.225,-95.3775,7282.91,-278.586,13995.8,239.793,6.91609,550.057,1842.39
-70.4679,160.818,4112.53,-962.099,12293.8,88.5456,270.373,659.056,846.982
36.0438,32.0284,3046.08,-79.4448,8300.44,-66.633,10.9417,35.9465,161.557
63.4958,219.995,57109.4,-4057.48,211.659,9058.44,683.29,725.927,-51.7598
172.248,389.956,5532.52,-1392.88,13757.4,447.786,488.749,2230.19,2762.58
-530.224,2887.38,3750.5,3144.8,888.963,390.651,744.134,1203.67,753.352
33.7195,38.174,7444.44,-176.18,910.491,1632.87,-256.815,77.3905,183.904
-166.612,68.3153,5712.27,409.249,6345.74,-132.111,-4.66154,315.906,-102.696
-151.791,179.562,2415.27,-63.1309,8505.23,-57.336,55.8937,486.011,219.316
-52.7935,412.614,17778.9,1622.05,26188.4,-135.323,136.644,11993.9,334.61
-284.371,1899.12,2203.5,1074.6,1153.59,482.362,144.505,1696.29,1525.2
118.788,138.008,4547.17,-735.944,11573.9,100.867,234.297,642.475,802.51
-7.46258,35.4741,13117.2,-265.634,-68.972,3004.67,-274.369,42.6763,194.803
143.096,-24.8966,7476.58,-786.336,11714.6,181.1,129.52,721.824,992.736
132.443,336.714,9444.81,-954.106,16946.2,524.063,277.88,873.332,1092.81
12.6246,208.378,5161.03,-693.498,12925.2,203.182,137.29,-25.0198,258.794
136.22,10.0946,6914.09,-366.102,14504,-221.584,-55.9903,998.58,904.811
30.2102,9.49203,2502.1,-663.302,5773.47,-90.5932,205.929,878.073,469.346
305.606,42.3102,9298.85,607.941,19269.7,634.057,-423.702,948.435,1212.47
91.7812,171.949,6061.07,-1331.3,23362.4,292.249,557.789,202.862,554.391
84.8668,168.121,4251.14,152.918,11021.5,-95.4964,115.658,885.644,912.768
68.7771,205.618,4545.36,-305.681,15033.2,60.618,191.172,-26.0031,1241.7
91.4574,118.321,6331.14,-240.149,12909.2,239.335,-32.7484,1776.19,983.218
50.1196,26.5415,7096.74,-27.3529,12091.8,56.2047,61.4587,531.165,713.575
103.495,222.296,5699.39,-161.252,19015.7,-186.897,34.4459,55.541,1171.46
-84.7879,199.565,4253.5,160.666,8519.92,47.2635,-27.2672,708.444,440.572
-23.8715,6.7207,48982.3,-2873.66,116.672,8537.75,19.6167,-91.0774,77.7468
107.895,172.26,8607.31,-262.854,25071.4,383.491,-157.662,334.823,1210.66
39.5196,132.474,35665.5,4897.51,23765.3,496.716,507.396,21992,1227.1
67.6012,95.9145,4745.94,36.4247,10325.7,-59.8517,-100.551,295.684,618.915
12.5602,-4.6033,7270.18,-884.536,17136.2,40.3822,199.204,374.234,637.106
-198.092,-20.1022,3378.3,-208.709,8611.13,116.699,240.736,-50.0916,92.7506
-71.284,-48.1417,20937.4,4331.74,29428.5,-138.878,-209.48,19195.2,1065.43
116.515,-81.3505,1665.72,570.952,3122.03,-8.01248,50.5353,28.9013,345.924
-210.955,333.382,3136.73,-512.49,7907.7,102.044,103.877,1172.55,143.695
31.8859,104.546,49070.1,-2039.73,514.863,14074.4,1.75606,278.023,71.4195
200.44,197.527,5500.25,-866.593,13959.2,498.642,278.83,1871.34,1064.69
21.8509,-10.9167,5875.74,-539.398,16266.1,-117.074,271.048,-313.298,229.746
65.5338,358.694,4066.55,12.582,8412.41,37.3186,-31.6522,258.752,1322.93
99.3521,295.142,9342.21,-1190.63,15341.2,60.8609,284.29,479.448,1153.77
183.373,62.191,8017.14,484.956,16979,392.971,-67.7225,245.814,928.433
232.86,-126.686,3906.69,-135.529,7432.57,-31.7576,-16.8404,-174.913,483.77
162.412,-29.6767,3960.61,-1013.72,15921.6,263.109,499.251,328.297,436.874
194.907,155.98,9504.09,-1145.19,14332.6,810.916,31.5402,1232.27,1815.72
-604.697,5815.07,1219.3,-182.924,867.696,-764.101,-131.315,78795.7,1926.33
33.5323,101.439,6094.22,-463.179,11358.1,27.1341,-65.4756,162.979,512.634
114.625,65.7792,6917.33,-485.753,12604.8,505.261,261.037,2627.47,1185.13
72.6675,141.403,14368.2,5145.06,2495.22,82.9205,4.76193,12953.6,723.318
53.395,130.304,3609.41,-62.6399,8418.54,-291.314,-13.8857,573.355,91.493
152.676,37.0925,4973.2,-317.489,7949.95,97.3794,-7.41862,-152.096,539.004
70.7109,158.684,37525.9,-1314.39,484.813,3622.59,88.4502,-234.807,1277.65
39.7759,178.388,2798.6,-1108.79,9678.5,280.009,351.73,733.659,797.394
68.3287,28.6718,3212.16,-317.877,9114.11,35.2293,318.987,403.053,277.843
-83.7677,91.9568,9656.66,-1242.11,24260.8,-46.341,310.318,670.654,1056.52
15.5171,-0.804126,1732.47,138.792,6227.05,-168.547,-41.0247,-315.591,834.365
137.461,133.062,3434.37,-634.775,9556.66,202.627,188.868,631.571,412.252
25.2641,96.36,7442.65,-545.201,601.906,199.799,-147.613,-229.29,473.008
242.492,84.03,7447.74,572.193,19355.9,547.46,160.312,356.513,1948.84
143.706,398.141,9900.66,-218.385,20175,946.251,-50.715,1366.21,1887.58
-52.6462,49.0488,3904.75,-64.4272,10147.7,307.708,-89.3079,339.021,350.608
109.317,147.032,26865.7,10038.8,21504.7,184.375,173.21,8276.19,353.726
151.315,95.3501,7184.05,-1120,13250.9,324.521,508.59,235.914,1332.65
118.614,265.49,3696.1,-143.562,12186.1,193.482,-172.094,48.6435,1258.73
-47.3391,-28.469,3711.09,25.7384,11413.2,83.9611,-92.761,347.092,215.758
105.666,-46.5573,10241.5,-1038.01,28391.7,20.8887,55.7892,133.784,595.121
161.533,137.507,60378.3,-1381.04,342.487,13945.2,-565.851,-491.753,1887.76
175.731,-23.8222,4593.01,-344.756,10711.4,-54.762,205.359,632.306,1047.5
119.906,-82.1241,3420.85,-315.508,8134.05,71.633,161.198,710.377,67.5063
2.61281,27.9548,26125.2,7009.74,18092.1,243.671,-492.929,13890.8,795.648
-93.8741,403.907,10142.1,-78.6112,22644.7,595.755,-73.29,3007.07,1164.66
5.07628,117.947,3617.33,70.4392,10691.3,157.902,-87.4805,97.644,471.729
82.3076,255.223,1326.06,-709.06,3950.58,457.163,241.448,248.188,189.503
102.78,1.94199,1888.91,-577.383,8412.92,0.256252,288.562,405.824,585.154
-207.033,6134.17,47746.6,349.246,405.381,-497.653,-765.3,231.932,14253.3
-4.84024,-73.2699,7085.55,-677.215,547.449,986.276,23.5482,-88.5969,346.7
102.072,-1.78024,7275.77,-75.8767,10579.1,201.058,-74.1999,287.564,389.081
149.012,55.2574,5810.27,-723.637,15000.6,153.781,551.227,634.828,479.944
218.936,116.361,26559.7,2480.02,19536.7,379.013,-379.156,12068.9,55.2358
4.17481,-10.5131,9842.77,-290.803,573.69,2753.71,-117.401,-201.522,539.152
35.596,105.951,3024.56,-609.541,8316.37,53.4012,243.756,964.063,1042.45
144.879,179.854,5702.88,82.5391,8241.22,619.99,-42.0794,698.496,1336.95
-23.5157,39.0753,1502.96,-257.978,4900.7,126.739,15.2672,217.821,140.457
-70.5427,164.33,5370.89,-296.163,15870.8,-73.6275,401.784,1124.2,464.349
98.9908,-28.8672,11873.4,197.114,914.482,-204.635,-338.056,2163.25,-59.6711
45.7173,70.5679,5695.28,-421.891,14677.2,568.696,-221.171,700.961,925.331
1586,180.508,105165,-1345.74,7934.59,1463.89,-534.759,12028.2,-149.604
-33.9413,249.167,5185.2,-1746.62,10980.6,406.091,991.848,1422.57,1529.02
50.8419,-37.9812,5084.08,1547.13,13111.9,310.383,-169.853,389.737,43.4053
-17.6958,194.137,3220.72,-1014.41,10099.7,342.576,126.654,1224.54,693.039
76.9223,105.798,4588.77,-969.629,11277.4,337.976,310.242,514.703,779.38
232.983,317.575,3626.53,-9.81133,7429.9,270.026,255.384,1780.06,1902.2
-94.1985,133.563,1999.14,177.279,346.931,113.563,-53.0383,382.712,-186.166
-393.126,1318.9,2501.64,418.248,1820.76,326.303,23.4227,2907.08,2622.31
107.244,30.6594,6252.97,-413.434,11956.9,140.316,232.998,738.519,581.204
32.3289,138.898,2870.83,506.992,6196.87,14.011,-28.6736,720.32,249.616
-70.6714,99.5662,3684.64,-550.241,9639.97,150.746,75.6755,27.9021,463.645
155.671,29.3196,3805.09,-287.143,9266.57,30.6828,135.367,625.942,1024.19
21.3858,27.257,11710.9,-1146.28,25571.2,907.008,159.769,600.762,864.426
97.2926,24.1722,19801.5,-1109.51,325.521,2196.84,6.72231,165.743,155.046
72.3947,-37.0384,4212.8,-295.202,10707.5,403.409,-67.1997,883.017,150.385
117.12,134.886,8030.96,-917.296,25936.5,-138.816,228.484,900.657,1229.03
119.569,508.93,7797.13,-163.174,11518.6,114.85,58.3837,581.22,926.69
153.57,328.596,5939.97,-1918.68,10028.8,938.942,699.612,1815,1647.65
198.953,-172.657,6428.75,590.874,15802.9,171.251,-145.563,892.702,577.276
88.3306,131.645,3960.25,-212.722,10883,289.598,-80.8239,577.193,578.458
-20.8882,158.079,5702.34,-181.416,12623.2,-18.3083,-31.9055,680.396,649.625
40.4323,42.528,3474.69,-259.645,11891.4,228.82,-154.633,416.438,477.366
-45.2837,276.092,4577.87,-823.183,11634.7,-83.7589,443.317,703.915,409.169
172.19,89.7617,9258.45,-1171.74,13177.9,405.816,174.18,753.821,1069.43
80.87,97.5002,4417.27,-523.731,11134.9,534.079,87.5549,536.843,996.445
-1.97706,184.685,3791.45,-320.657,13405.2,17.394,102.334,-46.1579,671.066
-146.261,140.907,16586.4,1218.12,4734.84,304.179,-157.251,13521.1,-44.2196
-326.371,1559.12,1491.17,-42.5037,1411.53,232.831,262.375,1679.27,437.337
-57.7949,271.363,42629.2,16604.9,38348.6,401.252,661.055,23210.3,1157.88
118.348,198.218,53209.7,4713.61,50315.7,109.685,893.311,22444.1,409.596
5.46203,-7.05164,6423.89,-791.966,9132.43,-242.197,200.657,611.724,68.0436
-54.1636,329.961,6746,-1188.88,14165.1,-118.97,667.12,11.238,599.249
94.5575,348.267,24150.9,-2020.93,2092.12,-250.965,437.42,97189.9,-689.308
75.6917,156.375,6084.5,183.389,15238.8,334.769,-16.5424,651.029,1408.43
97.7367,-124.068,2344.33,-24.4555,7942.86,-36.5289,-146.008,46.7127,-123.483
113.759,117.13,4669.22,-520.845,11185.8,-34.7564,47.2146,590.542,776.856
178.161,-34.9935,3808.92,-412.082,11185.2,165.454,118.298,678.722,893.932
-26.3987,166.32,4516.17,-22.9324,8935.13,262.249,-6.92612,1085.59,639.884
38.4867,37.1439,9626.77,-1061.95,20274.1,181.443,187.519,256.41,231.466
20.1008,227.246,37604.2,3534.73,26802.7,358.474,63.3381,14505.8,7.56383
41.6687,58.2433,3749.59,-231.807,11916.4,38.136,224.411,680.268,155.606
66.9079,151.315,3779.61,127.992,11130,71.674,-212.502,-54.5195,648.278
6.7294,306.427,4772.53,-495.347,12285.2,589.34,366.283,884.755,891.17
-11.9851,175.881,26818.2,19283.6,26711.5,511.034,160.917,6857.41,324.932
28.6156,24.4332,2082.67,217.209,8053.98,181.053,-188.879,-110.795,178.054
95.276,79.8177,4938.05,-993.272,8401.15,-56.6361,259.251,1153.69,12.9829
61.5684,124.077,65858.4,-2802.91,-125.625,15285.5,-611.871,-38.7351,225.304
155.493,-52.7257,5032.61,-344.625,92.8183,1199.47,-107.606,-28.9796,175.484
90.2885,210.13,9264,-254.713,15848.3,158.441,-69.2401,205.424,842.664
133.182,-88.0074,3189.93,-29.4236,9494.44,-72.1819,-122.386,437.638,-13.2823
100.09,94.8038,12282.1,-1887.48,20487.7,-134.098,736.309,844.603,1314.9
-40.7714,-23.224,2502.6,324.368,7402.37,295.918,-35.2555,109.716,17.9543
82.6841,43.7161,1896.82,-804.488,8843.86,142.827,90.4591,483.147,739.274
80.4109,32.2202,18346.4,2245.29,23388,287.501,-360.866,12788.9,760.749
-23.2831,275.284,4509.55,208.904,13001.4,256.804,84.7658,-51.1519,1204.44
108.22,139.833,3598.87,-678.359,8936.53,254.092,213.072,629.624,576.265
3.72618,200.118,4763.62,-104.277,9240.26,40.0373,191.713,442.853,704.577
-89.8248,1709.75,77068.1,-3553.24,409.356,-160.695,94.5253,9222.25,-828.404
276.324,288.464,9867.76,-2103.68,17746.1,332.087,751.966,852.788,1061.7
51.1712,276.598,6446.88,-899.14,12944.2,339.653,212.849,750.355,607.378
85.4559,32.8798,1783.28,-364.141,7127.67,220.383,50.3205,84.8283,588.617
-12.7155,-207.896,19549.4,11853.1,3482.51,-113.861,503.308,15133.3,123.36
125.577,207.574,11339.9,-271.718,15423,236.772,191.895,5330.76,941.263
172.27,167.088,12824.2,-305.207,20454.3,511.546,-50.4054,761.66,727.963
69.9058,21.4175,3058.05,-929.387,8717.45,85.0267,538.067,858.199,866.597
131.713,-22.7195,48800.6,8623.45,34187.1,591.771,-183.498,15438.5,1092.44
248.337,83.4863,5859.35,-1261.42,12213.9,3.6648,295.012,381.528,694.355
240.114,111.887,10152.8,-837.584,17987.7,191.019,384.16,1203.07,407.462
382.334,553.928,9318.72,-930.265,14177.2,844.261,630.883,3015.61,2671.73
-92.3923,150.05,2998.73,73.3103,7842.17,66.9075,99.9601,507.443,208.207
-128.691,232.416,8299.32,-864.519,11713.1,58.6662,-46.41,294.965,490.598
91.7866,-19.1601,19213.7,-715.544,1658.95,-138.983,-25.9689,796.296,328.895
268.03,65.0153,4838.28,-159.912,9884.56,98.9868,-49.8504,-313.655,505.084
-29.4222,12.9323,3351.69,-902.054,10713.2,38.5203,179.363,349.316,248.303
56.2627,-67.9727,31006.4,6598.46,18896.7,264.995,-5.55128,9092.39,83.8138
5.18194,111.315,33041.3,-680.865,12521.4,309.441,-555.052,62860.7,1745.7
-49.7612,14.4011,8370.62,-618.097,5116.91,-23.326,58.8539,-1168.92,586.408
150.127,-4.72027,28853.3,6157.08,15822.3,242.675,203.314,19784,421.029
328.918,330.268,1851.58,-562.424,9970.02,699.144,86.5897,2536.67,1528.03
-49.7459,196.115,3901.41,-845.174,9422.9,251.657,180.754,1065.65,217.325
74.4176,198.899,4294.7,-674.148,8439.1,241.478,-48.9137,992.849,652.612
-7.81486,117.962,35206.6,8347.99,31022.2,393.435,-242.831,12779.8,792.489
-31.4259,904.508,3202.05,448.646,3857.44,39.418,-58.2708,1105.99,183.598
21.859,322.732,3560.44,-90.6622,8425.31,110.004,31.323,438.229,537.212
164.28,25.4396,1779.15,336.779,8830.29,93.0069,48.9709,500.751,76.3849
58.6207,-59.7079,4799.18,-1834.38,14249.4,52.5417,603.702,141.985,846.485
50.8431,257.746,7345.75,-517.599,14311.9,344.185,305.378,1149.19,630.852
54.5717,103.076,10927.9,-979.013,15662.5,297.485,100.703,1094.94,493.541
123.334,4.64879,24129.3,12937.9,15346,127.231,-537.668,5886.73,406.102
33.5821,202.257,4029.03,-47.0199,10060.2,519.656,-290.435,778.697,1265.82
212.899,-22.1742,3416.8,597.974,6609.08,74.7185,-167.065,185.056,846.857
-34.6471,227.666,5653.2,-108.646,11963.7,73.8482,9.37582,680.221,375.12
-14.7223,319.457,4682.45,527.909,10496.1,-25.1052,45.2101,292.716,793.72
105.574,217.531,11276.5,-38.517,17902.9,733.384,-303.203,416.272,1805.32
64.216,240.348,3696.46,-245.205,7366.31,189.002,-199.408,590.374,238.855
74.2048,139.623,5507.6,-1182.4,11793.7,101.398,411.622,119.487,1010.76
