PECy5-5 CD3e,PECy7 CD16-32,DL800 Ly6G,AF700 CD45,APCCy7 CD48,BUV395 CD11b,BUV737 B220,BV605 Ly6C
391.54,3921.2,114.3,475.249,1099.55,3426.01,918.913,1308.91
41.9409,121.379,-1178.22,1475.1,9535.23,502.49,511.376,2230.78
-30.438,377.477,-27.4819,879.933,2323.56,-160.783,3542.17,60.7182
-74.2936,4025.13,4096.69,1753.07,1595.51,14327.9,24.5499,1422.93
336.38,6442.14,-1613.57,5172.59,13155.1,13889.3,202.256,27402.9
-95.5325,6164.5,24257.4,3205.73,-747.839,16643.4,273.962,1079.39
-355.519,7136.46,-200.589,3596.86,10510,9825.26,378.482,15817.5
92.8963,238.049,-460.075,383.238,1043.41,-281.842,4263.91,-438.572
-24.1451,3713.75,7235.06,1015.37,640.604,11665.8,158.938,1899.6
514.254,4624.98,-163.148,2119.59,3212.51,6156.35,1045.31,10004.6
-31.9783,3501.36,7840.56,1957.19,225.403,9954.27,308.027,1463.66
24.5563,4966.01,7457.51,1636.66,-103.175,7628.48,106.493,861.772
-183.215,5492.58,-224.582,1648.26,8611.02,2074.83,187.641,15149.8
-242.311,549.768,-269.608,1005.41,4109.4,-6.96159,7527.55,-240.124
280.131,5875.04,15278.1,2292.53,1398.17,16382.4,31.8555,4455.93
-23.7227,8513.66,-1442.84,2300.14,12206.6,4865.51,201.919,18763.8
164.256,6500.54,-819.76,3570.25,9363.67,11290.1,598.268,30816.9
323.823,3854.87,211.327,782.79,993.638,6908.26,-65.7614,8420.43
208.886,4027.36,7781.64,1661.39,44.6683,17264,92.9381,1462.21
-245.878,647.393,-78.69,987.52,3605.52,-259.536,8490.55,133.02
-70.9385,1209.6,419.09,849.078,2297.99,-102.691,6896.46,137.139
-195.475,9075.05,-361.135,639.404,3051.89,1044.04,-200.848,11533.6
70.5098,3698.85,556.636,912.487,367.701,33784.1,228.779,2543.63
2.93477,870.648,-118.334,704.765,824.313,-158.699,3975.13,240.59
262.989,5961.53,7922.77,2838.83,1011.38,14090.1,162.269,2751.55
184.516,3759.09,7012.04,2921.3,630.039,17987.8,-383.553,478.255
-96.9951,5774.49,-52.419,1073.01,7894.19,923.603,-111.656,8683.54
9.15341,3437.76,2640.09,1279.48,819.58,13056.9,-22.0996,1760.37
-19.6598,4884.82,-282.187,3384.93,10171.5,10962.5,-105.197,20296
-76.3593,5346.05,12213.7,2647.65,33.3508,16647.1,129.812,1468.8
95.1186,6479.72,-751.634,1601.13,8983.57,2720.08,479.534,27157.2
282.012,-93.8043,36.8867,2483.57,6585.78,189.992,-366.541,-48.3186
288.024,7431.25,-344.946,3119.74,9229.37,13120.2,506.384,19914.6
-28.1556,893.286,-600.029,733.864,2573.64,-299.152,6555.36,-10.6671
18.4073,860.451,-765.541,958.543,5117.89,-628.474,8304.07,27.0801
74.2095,5000.8,12198,1765.09,860.643,10282.1,24.5309,1496.95
60.2607,5826.46,15241.7,2471.63,211.291,18433.2,-246.612,1172.2
172.382,3957.13,11943.4,2148.16,-152.123,9055.29,46.6257,1681.04
-16.5641,5649.11,5046.21,2669.61,815.074,17709.2,-110.058,1432.54
78.3452,4.52306,-211.571,4146.63,3411.54,-448.77,18677.9,993.838
114.732,9782.4,734.784,1546.23,7292.23,1673.79,-353.335,4599.38
-11.3078,3982.63,36.3268,929.996,1131.47,26420.5,587.434,2914.99
84.2382,2854.3,-86.0451,3004.5,2808.96,-237.031,13395.1,2.27317
215.758,1557.07,-236.778,7018.69,3278.71,274.25,24075.4,984.663
543.299,4245.42,183.226,1700.78,3315.2,5479.58,998.196,5155.73
-199.451,4761.91,13735.1,2684.08,133.725,16026.4,141.886,2971.36
-109.196,-196.963,-920.15,294.219,4304.47,-375.9,7481.79,-27.1006
-31.2051,3621.89,9596.85,1794.97,717.54,18579.8,106.378,1281.46
154.408,6742.6,11959.3,2265.7,1410.28,13912,61.9118,757.59
10.499,367.323,106.679,535.789,2628.9,-216.65,4226.7,320.96
-70.7514,6225.93,12080.2,2422.04,569.593,10789.6,236.102,1058.26
285.163,7518.22,-1046.36,2530.98,8082.74,574.06,1124.55,3200.97
308.151,62.4389,-935.174,4151.03,7674.78,-411.349,10000.5,-127.029
64.8917,6153.71,-254.126,3498.03,10937.3,5395.62,-101.745,14812.4
-48.2915,400.155,-493.069,607.266,4339.42,-224.34,8937.19,555.065
-74.6771,4974.08,7720.07,2830.23,713.835,20758.3,215.402,2870.44
92.4724,4740.26,10375,3370.18,-749.281,16697.1,203.174,4382.73
180.352,200.306,-224.296,4311.46,7710.11,74.1769,6912.24,172.659
207.016,1120.7,-967.026,7302.12,3400.48,543.014,925.105,39.3428
-23.8612,-266.48,-553.729,1703.46,5948.03,457.056,650.404,170.655
46.1234,7210.32,16425.7,2117.05,-153.519,7829.95,189.174,2402.43
-8.0168,5173.51,11728.7,1669.59,184.357,12686.2,11.4508,1505
69.6579,584.54,96.7183,1224.14,2968.49,-7.4627,10053.4,-106.361
82.4893,362.05,-52.4083,551.213,3744.09,270.324,8045.63,-251.326
112.973,555.897,-777.676,3711.46,9750.34,760.323,3313.72,2743.2
248.858,6217.72,10366.9,2526.06,1544.14,6571.72,613.01,3724.03
-41.3766,207.225,-373.708,504.008,4681.91,58.4335,5362.86,97.2393
28.1951,7561.85,22833.9,2547.35,708.741,20332.1,440.572,2799.77
-370.67,10060.4,-760.513,1517.33,8804.28,1260.76,39.6696,3269.29
81.9031,207.793,13.819,962.253,3776.66,-448.661,9717.77,49.774
-43.5961,4424.48,7931.23,1868.76,55.4376,8066.98,-34.1949,2050.51
64.9698,-9.77442,400.954,470.779,2953.23,-51.7098,4659.38,160.636
-56.72,4262,8877.69,2465.9,487.823,19536.7,106.795,1276.46
-33.8365,434.491,234.66,1570.01,1387.54,-144.924,10963.7,-111.691
74.8254,5914.71,12804.1,2432.12,93.554,25074.4,2470.71,2351.82
-26.497,3673.39,13515.7,3987.24,512.392,26227,156.664,1452.94
862.596,2365.12,-124.766,791.961,1929.22,5801.15,1064.96,5763.52
-149.821,1215.09,-234.585,687.742,2322.89,49.1764,4224.43,106.524
-15.7205,470.422,-102.985,387.51,1411.26,-137.921,4830.24,136.941
186.955,5550.44,8759.58,1542.89,353.126,7185.18,175.932,1257.92
70.9987,12494,28611.8,5041.74,2054.77,24628.4,524.282,2627.27
0.122512,422.44,-126.882,486.999,1246.61,-298.013,5900.72,93.3292
62.2436,6336.56,11007.6,2985.94,266.326,19425.8,301.039,2368.1
135.917,6027.56,6185.96,1915.6,156.057,19643.7,194.159,2741.74
31.5024,2428.49,-484.699,444.683,1707.54,5895.32,197.111,10462.7
79.294,3384.85,42.1657,501.977,6012.52,511.726,176.629,9694.45
-154.787,9462.81,188.556,3191.76,11620.9,6934.26,31.0129,23531.3
-149.061,6241.15,11335.5,2203.27,19.7645,6348.25,-220.052,1637.8
182.531,7238.13,5935.88,2851.06,2376.11,15675,184.866,2769.03
101.838,2565.48,2821.82,678.749,278.176,10099.8,229.046,1474.9
147.476,514.31,196.983,1473.5,3823.74,-43.3596,12129.2,119.961
19.4499,771.489,-216.638,660.74,3996.21,-75.5196,7585.61,137.122
198.481,384.794,-66.7631,485.303,180.789,1761.81,676.329,867.536
245.079,5010.51,5010.25,1810.44,-66.4212,8106.19,182.535,2050.99
256.083,2262.76,12291.5,1059.22,399.441,16807.6,416.574,1844.86
181.459,8747.54,-1230.55,3054.53,11749.2,6920.38,564.946,17417.2
-213.123,7236.74,-580.652,3069.62,9162.62,6527,-593.117,22663.7
54.769,166.203,-100.702,209.233,1799.07,-137.199,5351.76,-58.3538
217.921,3779.21,7862.78,1406.3,832.988,11749.1,270.192,3194.05
