PECy5-5 CD3e,PECy7 CD16-32,DL800 Ly6G,AF700 CD45,APCCy7 CD48,BUV395 CD11b,BUV737 B220,BV605 Ly6C
22.2979,3865.36,2617.64,811.449,932.759,9165.8,132.79,6537.39
-47.9063,465.262,1008.41,-11.6706,1324.08,344.17,6926.3,-355.785
81.4692,4082.02,14275.1,1765.88,933.93,17070,452.775,3817.54
9.48462,3107.74,164.844,723.142,43.5695,8508.72,82.7346,7453.3
49.5278,5433.73,7714.23,1810.45,162.273,12619.3,409.847,1880.2
72.4855,3108.32,48.4802,145.721,349.818,11290.7,401.555,8584.41
109.695,5147.25,4897.6,893.131,728.915,13194.1,166.01,3695.41
230.308,3249.13,5634.69,624.364,155.364,9570.28,19.0626,5409.83
26.3122,378.511,207.736,978.006,2744.88,625.556,17446,-88.0218
-83.6189,5712.24,9659.22,903.683,379.063,8570.88,341.831,6055.55
-103.09,667.281,-915.087,653.957,2954.27,-64.725,5941.33,-485.773
43.5532,-69.66,-244.954,-147.363,-143.732,236.687,307.991,99.7008
-119.221,3493.69,-27.9226,547.219,-564.997,8585.03,325.157,9596.24
174.802,-156.64,-1115.3,236.555,281.59,1997.77,8628.46,-134.906
-67.1776,593.805,-578.838,675.379,1705.25,-125.281,5977.31,252.893
69.3171,4383.07,5096.55,1239.37,80.1901,18703.6,176.425,7040.4
-86.4342,2892.2,-246.781,2248.68,2996.94,522.668,18953.6,1579.72
8.13573,5711.96,10320.4,2570.02,233.403,16766,204.374,2622.11
54.6715,4273.47,5918.49,929.389,726.177,8358.45,251.595,1110.27
32.5184,4107.16,6259.19,1538.61,1056.2,19279.5,478.858,1435.26
-36.0903,4141.96,-1328.02,1048.07,7210.3,2817.82,156.63,47106.5
22.9916,3017.37,4261.92,460.174,415.851,6550.68,59.4911,2113.14
41.5251,7001.69,11379.7,2127.51,461.444,12280.7,264.726,4416.18
-88.1491,3547.45,284.637,627.205,591.441,6884.35,308.634,2171.12
-237.107,4250.4,12118.2,1236.88,-772.877,15803.9,-100.043,5255.1
144.89,530.608,109.714,528.187,288.323,488.818,5259.01,468.44
-279.47,1267.39,-950.167,1917.03,-689.638,523.471,6690.46,31.004
-329.037,3344.62,6438.89,523.216,1117.69,12056.2,-235.706,12405.5
321.22,1977.03,-878.993,12055.7,4508.85,860.046,2663.05,141.956
-74.7497,4694.63,13614.8,1796.02,-534.087,9668.78,-263.344,4348.54
144.433,4243.99,-1870.36,1453.97,11140.1,4489.97,396.388,34618.7
138.45,3758.14,5888.09,1043.16,177.546,7863.12,133.04,3663.27
33.5128,25698.4,-1577.37,1223.47,4827.24,4866.57,99.3132,442.204
-13.337,1147.83,-743.172,1596.34,2804.85,534.963,11149.5,159.644
232.036,243.765,-514.318,1766.04,3588.05,123.976,20809.2,172.667
97.1301,4815.25,9292.5,1606.32,-23.871,10308.8,115.469,4742.95
80.3225,3049.49,734.956,300.239,87.9655,8274.66,630.522,2982.07
-274.003,6594.05,9922.33,2036.82,-38.5711,12621.1,114.725,5646.81
-143.542,4326.4,8384.81,1201.05,-325.683,5887.4,-59.9205,3951.21
-160.79,3511.86,1066.95,700.206,-481.036,12227.3,-12.3498,1835.52
94.4101,3773.54,10118.1,1843.65,194.869,14929.7,150.24,2831.34
-216.419,4047.95,3295.75,412.351,561.241,6967.06,-41.8281,6112.03
6858.74,-1.30084,-405.02,497.399,1163.54,610.687,-896.503,2978.49
-76.9216,14297.1,-463.785,1073.56,3374.02,5393.52,218.336,325.923
-34.5542,3839.31,113.185,302.087,371.751,11440.3,-22.1279,6769.36
129.978,4468.95,5798.92,984.328,-275.213,9600.72,17.6883,3953.48
59.6645,2750.57,297.705,1033.08,3068.59,3555.06,-118.905,24046.8
25.059,6295.57,6702.49,1489.29,-42.7113,9274.42,60.2239,3553.47
-240.417,2403.06,279.042,51.5454,44.0955,10865.3,288.807,3936.42
9.08516,4740.96,7709.11,825.823,1135.3,7847.4,108.799,3932.29
3.32833,5554.38,16868.9,1625.9,-1018.15,9817.42,124.288,3561.59
-66.5484,4276.4,-145.896,869.004,2276.2,8498.05,-827.323,7273.9
-112.706,4813.13,-499.557,847.463,7486.74,4436.1,211.576,17960.6
-166.464,3524.53,4482.35,946.168,-575.979,11500.4,223.647,2690.95
-90.5624,5832.01,-797.52,2150.54,5411.68,8864.37,-113.418,44353
